file,library,model,trial,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,medgemma-1.5-4b,1,True,134.1420087814331,,,local,USPSTF_Statin_Use_CPG.md,True,True,True,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,medgemma-1.5-4b,1,False,31.43730092048645,"The ELM implementation for the Summary does not match the CPG requirements. The CPG specifies a specific string format including the patient's first name and the calculated counts, while the ELM uses a placeholder `[Concatenate]`.",,local,Condition_Medication_Count_CPG.md,True,True,False,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,medgemma-1.5-4b,1,True,0.4250030517578125,,,local,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,medgemma-1.5-4b,1,True,47.87004256248474,,,local,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,medgemma-1.5-4b,1,True,31.35464644432068,,,local,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,medgemma-1.5-4b,1,False,30.66287660598755,None<unused95>VALID: YES,,local,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,False,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,medgemma-1.5-4b,1,False,47.89430212974548,None<unused95>VALID: YES,,local,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,False,True
Depression_screening.json,DepressionScreening_CDS,medgemma-1.5-4b,1,True,57.733222246170044,,,local,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,medgemma-1.5-4b,1,True,47.464627742767334,,,local,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,medgemma-1.5-4b,1,False,43.24120855331421,,,local,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,medgemma-1.5-4b,1,False,38.952306509017944,,,local,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,medgemma-1.5-4b,1,False,45.937132596969604,,,local,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,medgemma-1.5-4b,1,False,51.77756667137146,None<unused95>VALID: YES,,local,Cervical-Cancer-Screening_CPG.md,True,True,False,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,medgemma-1.5-4b,1,True,44.22158908843994,,,local,Lung-Cancer-Screening_CPG.md,True,True,True,True
AAA-Screening.json,AAA_Screening_CDS,medgemma-1.5-4b,1,False,52.815425157547,None<unused95>VALID: YES,,local,AAA-Screening_CPG.md,True,True,False,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,medgemma-1.5-4b,1,True,36.09081149101257,,,local,Alcohol-Misuse-Screening_CPG.md,True,True,True,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,medgemma-1.5-4b,1,True,30.992157697677612,,,local,Falls-Prevention-Screening_CPG.md,True,True,True,True
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,medgemma-1.5-4b,1,True,34.10997939109802,,,local,Tobacco-Use-Screening_CPG.md,True,True,True,True
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,medgemma-1.5-4b,1,False,63.507829427719116,,,local,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False
Anxiety-Screening.json,Anxiety_Screening_CDS,medgemma-1.5-4b,1,True,33.01068663597107,,,local,Anxiety-Screening_CPG.md,True,True,False,False
HIV-Screening.json,HIV_Screening_CDS,medgemma-1.5-4b,1,False,47.02866530418396,,,local,HIV-Screening_CPG.md,True,True,True,False
Prediabetes-Obesity-Screening.json,Prediabetes_Obesity_Screening_CDS,medgemma-1.5-4b,1,True,40.717692852020264,,,local,Prediabetes-Obesity-Screening_CPG.md,True,True,False,False
Cervical-Cancer-Screening-WrongAge.json,Cervical_Cancer_Screening_CDS,medgemma-1.5-4b,1,False,44.388426542282104,"The ELM implementation uses `Age >= 30` in the `In Demographic` definition, while the CPG requires `Age >= 21`.<unused95>VALID: NO; The ELM implementation uses `Age >= 30` in the `In Demographic` definition, while the CPG requires `Age >= 21`.",,local,Cervical-Cancer-Screening_CPG.md,True,True,True,False
Depression-Screening-WrongLookback.json,DepressionScreening_CDS,medgemma-1.5-4b,1,True,61.484914779663086,,,local,Depression_screening_CPG.md,True,True,False,False
Falls-Prevention-WrongAge.json,Falls_Prevention_Screening_CDS,medgemma-1.5-4b,1,False,55.68627166748047,,,local,Falls-Prevention-Screening_CPG.md,True,True,True,False
Alcohol-Misuse-WrongAge.json,Alcohol_Misuse_Screening_CDS,medgemma-1.5-4b,1,False,43.170690059661865,,,local,Alcohol-Misuse-Screening_CPG.md,True,True,True,False
Osteoporosis-WrongLookback.json,Osteoporosis_Screening_CDS,medgemma-1.5-4b,1,True,65.06537318229675,,,local,Osteoporosis-Screening_CPG.md,True,True,False,False
AAA-Screening-WrongAge.json,AAA_Screening_CDS,medgemma-1.5-4b,1,False,55.11203598976135,"The ELM uses Age >= 55 years, while the CPG requires Age >= 65 years. Additionally, the ELM's logic for `Needs AAA Screening` does not correctly implement the CPG's `MeetsInclusionCriteria` by including the `In Demographic` criteria (Age >= 55 AND Age <= 75) which are not part of the CPG's inclusion criteria.<unused95>VALID: NO; ",,local,AAA-Screening_CPG.md,True,True,True,False
